id,tsne_dim1,tsne_dim2
sample_1,9.61145060583004,-6.21185780140226
sample_2,6.68519554434257,-10.7728323255421
sample_3,9.69054527459721,-4.20683472063126
sample_4,11.2213008437137,-1.30447058552191
sample_5,-5.3796595814366,-9.56908262949303
sample_6,-33.3592684191154,6.9161105691329
sample_7,13.7349670497825,-12.8742349814721
sample_8,-31.8145255621781,10.2155619616816
sample_9,-5.80593253522794,-5.5731201129307
sample_10,-6.97790346193314,-3.24333750416471
sample_11,3.01920753749225,19.9444923172749
sample_12,-32.5892377144724,10.8068119506044
sample_13,-31.1473507392114,4.35289185473336
sample_14,-13.2698430596338,0.787256656464048
sample_15,1.08022113703661,-3.25263610456943
sample_16,-8.14100065123503,-9.08718627680076
sample_17,12.3552531275589,-2.60013996628924
sample_18,-5.88620491174589,-9.55694887476948
sample_19,3.27527737174585,19.6112230200851
sample_20,-7.31111525536413,-7.78699369072025
sample_21,-31.00306234826,8.98031681901542
sample_22,8.71922302290503,6.80522430726816
sample_23,0.304694121791725,13.8885306341777
sample_24,16.4546627938465,-11.4338294183235
sample_25,-9.87015475975483,-8.07726839134081
sample_26,12.2598511452145,-15.8578586200062
sample_27,15.2230929679618,-10.7832927225455
sample_28,9.55667871015332,5.63045566424095
sample_29,-1.56515264822291,14.466671396277
sample_30,3.18199352937193,7.86977096960082
sample_31,-9.78307755841605,-0.925935322788583
sample_32,-5.02180008085035,-7.33047148869411
sample_33,-6.66093946167096,-6.11993284370514
sample_34,7.91976167851641,-13.9044930718387
sample_35,-30.3071192557303,6.41851261940993
sample_36,-32.6938446792204,5.22184941206571
sample_37,-14.3984269258908,-7.86735329381748
sample_38,2.10438525418672,18.2780195210515
sample_39,4.92263193896166,18.9041817873884
sample_40,17.7625415171369,-12.5591814187456
sample_41,13.6960421514605,-14.1541845900562
sample_42,-6.80329427396071,-9.33735556115012
sample_43,15.0293863891377,-12.5420319245102
sample_44,-5.44085722562916,-10.3264231154041
sample_45,5.93832934421651,18.1968558158738
sample_46,-12.7338319379485,-7.10100714134085
sample_47,5.90666229016826,9.29439565353907
sample_48,5.20811373609855,15.1341990595043
sample_49,10.1458976479057,-10.9788373579032
sample_50,-30.0478354443176,4.8082647155185
sample_51,12.5029109449314,-9.7556694892902
sample_52,7.34509246435877,16.526428318284
