id,V1,V2,V3,V4
sample_1,0.0501340687125199,0.246689400080344,1.29759189338874e-05,0.703163555288202
sample_2,0.453466310700577,0.296080396501855,5.24814067534648e-05,0.250400811390815
sample_3,0.0104723029583177,0.73284760766218,1.41386952414094e-05,0.256665950684261
sample_4,0.0875378268689866,0.0674361391878971,1.19008876043422e-05,0.845014133055512
sample_5,0.000177485516588201,0.976669200802448,6.63021298798294e-05,0.0230870115510839
sample_6,0.141764896121777,0.000112149787618687,0.858022324219429,0.00010062987117497
sample_7,2.36926334913816e-05,0.00146964450651981,2.25948398113996e-05,0.998484068020177
sample_8,0.000511478188896816,0.000100206351416334,0.999373230569485,1.5084890202103e-05
sample_9,0.00308392415864264,0.996134792499641,6.39259781592923e-05,0.000717357363556816
sample_10,0.0937198371688092,0.806878164509089,0.0993791745384139,2.28237836876366e-05
sample_11,0.999003868309386,5.70575451632669e-05,0.000241531167478451,0.000697542977972548
sample_12,0.000311235844370165,7.55220104957039e-05,0.999596723965434,1.65181797003193e-05
sample_13,2.46777858792286e-05,0.000112632485356342,0.999840281445968,2.240828279676e-05
sample_14,0.00123568030568117,0.214809199115501,0.783942567758452,1.25528203659434e-05
sample_15,0.318612400702928,0.578859393038443,9.84105767622595e-05,0.102429795681867
sample_16,0.000603723755835056,0.999209220865011,6.82585523232269e-05,0.000118796826830337
sample_17,0.261371106460603,0.0084281953067168,1.70851126315731e-05,0.730183613120048
sample_18,0.000255956402030743,0.981663229675349,4.15233625719629e-05,0.0180392905600483
sample_19,0.997663066333496,2.55379961884922e-05,0.00227649510289755,3.49005674179266e-05
sample_20,0.000200997122873903,0.999608889803415,4.63858048432444e-05,0.000143727268868368
sample_21,4.46543312217033e-05,9.75644683320249e-05,0.999841748298603,1.60329018432395e-05
sample_22,0.821281784791195,0.16885542185261,0.00128235922123991,0.00858043413495509
sample_23,0.388813529179708,0.0271390039941587,0.584026493007347,2.0973818786207e-05
sample_24,2.19036041871059e-05,0.00532683111748991,2.15323883466189e-05,0.994629732889976
sample_25,0.000990591478888315,0.996495311028077,2.04115720974277e-05,0.00249368592093734
sample_26,3.18312798349607e-05,0.135645776889805,2.6503195777263e-05,0.864295888634583
sample_27,5.17923504148608e-05,0.00132955205460744,8.82996281289444e-06,0.998609825632165
sample_28,0.0414557956793972,0.949964815233595,0.000110626636290606,0.0084687624507171
sample_29,0.810537594087921,0.00286324904075719,0.186579679064601,1.94778067213685e-05
sample_30,0.961883952869901,0.0327290413944439,0.00114344751592307,0.00424355821973177
sample_31,0.0361526911149533,0.0497195568097938,0.914114116207296,1.36358679568058e-05
sample_32,0.000561518990054134,0.999196383661094,4.71149819056041e-05,0.000194982366946233
sample_33,0.00287266949520858,0.993366649781522,2.18843875539987e-05,0.00373879633571517
sample_34,0.00358488813061736,0.096287677164802,7.40936005579422e-06,0.900120025344525
sample_35,3.23787443032582e-05,0.00207443409164811,0.997860873199102,3.23139649467547e-05
sample_36,0.105413515572044,0.000141961022869989,0.894307454271777,0.000137069133309703
sample_37,0.00047390062214347,0.64858700391884,0.350924136041014,1.49594180032419e-05
sample_38,0.857178000811463,0.00109333268526612,0.141709310603631,1.9355899640217e-05
