V1,V2,V3,V4,id,cluster
0.0014450192508281,1.67819168629375e-05,2.96353515885908e-06,0.99853523529715,sample_1,4
0.000112029070239159,0.000193133333303178,4.55720903136923e-06,0.999690280387426,sample_2,4
0.00942137802602026,2.9107851981566e-05,5.13537388313962e-06,0.990544378748115,sample_3,4
0.072873765653125,1.93044173394051e-05,1.34637929421893e-05,0.927093466136594,sample_4,4
9.79969126693953e-06,0.999848925190493,4.76501609321509e-06,0.000136510102147152,sample_5,2
2.72084628100597e-06,2.72092485720391e-06,0.999991837382581,2.72084628100597e-06,sample_6,3
2.27596781890008e-06,1.835983645015e-06,1.83348709848475e-06,0.999994054561438,sample_7,4
2.57279472080954e-06,2.57283990202473e-06,0.999992281570656,2.57279472080954e-06,sample_8,3
3.12823999652794e-05,0.999947447210617,1.8376011111299e-06,1.94327883070495e-05,sample_9,2
3.97059832471146e-05,0.999955690356674,1.48036302294829e-06,3.12329705586239e-06,sample_10,2
0.999981655520825,6.11485763976644e-06,6.11481048727448e-06,6.11481104749487e-06,sample_11,1
6.48503743565178e-06,6.4850561168197e-06,0.999980544869012,6.48503743565178e-06,sample_12,3
4.14503862274063e-06,4.16695959033078e-06,0.999987542963164,4.14503862274063e-06,sample_13,3
6.05967724820738e-06,0.99998339677861,5.2717201312509e-06,5.27182401088509e-06,sample_14,2
0.127534156877587,0.778555894341714,3.53015843508416e-05,0.0938746471963486,sample_15,2
2.8975282326475e-06,0.999989443305153,2.55980069159167e-06,5.09936592252257e-06,sample_16,2
0.010952541682053,7.93799542629542e-06,7.16329630704918e-06,0.989032357026214,sample_17,4
7.15872283720768e-06,0.999919006878188,4.195021926852e-06,6.96393770476812e-05,sample_18,2
0.99998407123751,5.30962540869514e-06,5.30956802918146e-06,5.30956905215138e-06,sample_19,1
3.59588357996503e-06,0.999987609697816,1.95732112964292e-06,6.83709747397993e-06,sample_20,2
1.07400409538895e-06,1.07421259522468e-06,0.999996777779214,1.07400409538895e-06,sample_21,3
